summary,components,story_points,priority,issuetype,created_year,created_month,num_comments,project,status,created_date,key,created_dayofweek,num_components,resolution_days,assignee,num_labels
Enhance allocator interface with the recovery() method,allocation,3.0,Major,Task,2015,11,2,Mesos,Resolved,2015-11-10,MESOS-3873,1,1,1111.83,Alex R,1
Make apply-review.sh use apply-reviews.py,,1.0,Major,Bug,2015,11,2,Mesos,Resolved,2015-11-10,MESOS-3868,1,0,1112.18,Artem Harutyunyan,1
Make `Resource.DiskInfo.Persistence.principal` a required field,,1.0,Major,Improvement,2015,11,1,Mesos,Resolved,2015-11-10,MESOS-3867,1,0,1112.5,Greg Mann,2
Simplify and/or document the libprocess initialization synchronization logic,libprocess,1.0,Minor,Task,2015,11,2,Mesos,Resolved,2015-11-09,MESOS-3864,0,1,1112.58,Joseph Wu,1
Investigate the requirements of programmatically re-initializing libprocess,"libprocess,test",2.0,Major,Task,2015,11,1,Mesos,Resolved,2015-11-09,MESOS-3863,0,2,1112.6,Joseph Wu,1
Authorize set quota requests.,master,5.0,Major,Task,2015,11,4,Mesos,Resolved,2015-11-09,MESOS-3862,0,1,1112.73,Jan Schlicht,3
Authenticate quota requests,master,3.0,Major,Task,2015,11,2,Mesos,Resolved,2015-11-09,MESOS-3861,0,1,1112.73,Jan Schlicht,2
Add github support to apply-reviews.py.,,3.0,Major,Bug,2015,11,2,Mesos,Resolved,2015-11-09,MESOS-3859,0,0,1112.89,Artem Harutyunyan,1
Draft Design Doc for first Step External Volume MVP,,3.0,Major,Task,2015,11,2,Mesos,Resolved,2015-11-09,MESOS-3857,0,0,1112.98,Jörg Schad,1
Add mtime-related fetcher tests,test,2.0,Major,Bug,2015,11,2,Mesos,Resolved,2015-11-09,MESOS-3856,0,1,1112.89,Benjamin Bannier,1
Finalize design for generalized Authorizer interface,security,5.0,Major,Task,2015,11,1,Mesos,Resolved,2015-11-09,MESOS-3854,0,1,1113.11,Alexander Rojas,3
Investigate recent crashes in Command Executor,containerization,2.0,Major,Bug,2015,11,19,Mesos,Resolved,2015-11-08,MESOS-3851,6,1,1114.2,Anand Mazumdar,1
Corrected style in Makefiles,build,1.0,Major,Bug,2015,11,2,Mesos,Resolved,2015-11-07,MESOS-3849,5,1,1114.99,Alex R,1
Root tests for LinuxFilesystemIsolatorTest are broken,,2.0,Minor,Bug,2015,11,2,Mesos,Resolved,2015-11-06,MESOS-3847,4,0,1115.59,Joseph Wu,1
Update documentation for FetcherCache mtime-related changes,"agent,fetcher",1.0,Major,Documentation,2015,11,2,Mesos,Resolved,2015-11-06,MESOS-3839,4,2,1115.84,Benjamin Bannier,1
Rootfs in provisioner test doesn't handle symlink directories properly,containerization,4.0,Major,Bug,2015,11,2,Mesos,Resolved,2015-11-06,MESOS-3837,4,1,1116.41,Timothy Chen,1
/help endpoints do not work for nested paths,HTTP API,2.0,Minor,Bug,2015,11,10,Mesos,Resolved,2015-11-05,MESOS-3833,3,1,1117.49,Guangya Liu,2
Document operator HTTP endpoints,documentation,3.0,Minor,Documentation,2015,11,9,Mesos,Resolved,2015-11-04,MESOS-3831,2,1,1117.56,Kevin Klues,3
Test-only libprocess reinitialization,"libprocess,test",3.0,Major,Epic,2015,11,4,Mesos,Resolved,2015-11-02,MESOS-3820,0,2,356.99,Joseph Wu,1
"Add documentation explaining ""roles""",,2.0,Minor,Improvement,2015,11,3,Mesos,Resolved,2015-11-02,MESOS-3819,0,0,1119.55,Neil Conway,2
Containerizer attempts to create Linux launcher by default ,,3.0,Major,Bug,2015,10,2,Mesos,Resolved,2015-10-23,MESOS-3800,4,0,1129.58,Artem Harutyunyan,1
process::io::write takes parameter as void* which could be const,libprocess,2.0,Major,Improvement,2015,10,2,Mesos,Resolved,2015-10-23,MESOS-3795,4,1,1130.03,Benjamin Bannier,2
Cannot start mesos local on a Debian GNU/Linux 8 docker machine,,3.0,Major,Bug,2015,10,23,Mesos,Resolved,2015-10-22,MESOS-3793,3,0,1130.73,Jojy Varghese,1
Backticks are not mentioned in Mesos C++ Style Guide,,1.0,Minor,Documentation,2015,10,6,Mesos,Resolved,2015-10-21,MESOS-3786,2,0,1131.74,Greg Mann,2
Use URI content modification time to trigger fetcher cache updates.,fetcher,5.0,Major,Improvement,2015,10,2,Mesos,Resolved,2015-10-21,MESOS-3785,2,1,1131.78,Benjamin Bannier,1
Replace Master/Slave Terminology Phase I - Rename flag names and deprecate old ones,,3.0,Major,Task,2015,10,15,Mesos,Resolved,2015-10-21,MESOS-3781,2,0,209.47,Jay Guo,0
MasterAllocatorTest.SlaveLost is slow.,,1.0,Minor,Improvement,2015,10,4,Mesos,Resolved,2015-10-21,MESOS-3775,2,0,174.2,Shuai Lin,1
RegistryClientTest.SimpleGetBlob is flaky,test,4.0,Major,Bug,2015,10,6,Mesos,Resolved,2015-10-20,MESOS-3773,1,1,1132.66,Jojy Varghese,1
Mesos JSON API creates invalid JSON due to lack of binary data / non-ASCII handling,HTTP API,2.0,Critical,Bug,2015,10,11,Mesos,Resolved,2015-10-20,MESOS-3771,1,1,1132.76,Joseph Wu,1
Need for http::put request method,,1.0,Minor,Task,2015,10,10,Mesos,Resolved,2015-10-20,MESOS-3763,1,0,1133.32,Yongqiao Wang,1
Refactor SSLTest fixture such that MesosTest can use the same helpers.,test,3.0,Major,Task,2015,10,3,Mesos,Resolved,2015-10-19,MESOS-3762,0,1,1133.57,Joseph Wu,1
Document messages.proto,documentation,3.0,Major,Improvement,2015,10,2,Mesos,Resolved,2015-10-19,MESOS-3759,0,1,1133.76,Joseph Wu,3
0.26.0 Release,,5.0,Major,Task,2015,10,0,Mesos,Resolved,2015-10-19,MESOS-3758,0,0,1133.96,Till Toenshoff,2
Generalized HTTP Authentication Modules,modules,13.0,Major,Task,2015,10,3,Mesos,Resolved,2015-10-19,MESOS-3756,0,1,80.71,Alexander Rojas,0
Test the HTTP Scheduler library with SSL enabled,"framework,HTTP API,test",13.0,Major,Story,2015,10,8,Mesos,Resolved,2015-10-16,MESOS-3753,4,3,1136.58,Greg Mann,2
CentOS 6 dependency install fails at Maven,,1.0,Major,Documentation,2015,10,7,Mesos,Resolved,2015-10-16,MESOS-3752,4,0,1136.74,Greg Mann,3
MESOS_NATIVE_JAVA_LIBRARY not set on MesosContainerize tasks with --executor_environmnent_variables,containerization,2.0,Major,Bug,2015,10,1,Mesos,Resolved,2015-10-16,MESOS-3751,4,1,1136.78,Gilbert Song,2
Configuration docs are missing --enable-libevent and --enable-ssl,documentation,1.0,Major,Documentation,2015,10,4,Mesos,Resolved,2015-10-16,MESOS-3749,4,1,1136.82,Greg Mann,4
HTTP scheduler library does not gracefully parse invalid resource identifiers,"framework,HTTP API",1.0,Major,Bug,2015,10,2,Mesos,Resolved,2015-10-15,MESOS-3748,3,2,1137.54,Joseph Wu,1
Provide diagnostic output in agent log when fetching fails,fetcher,2.0,Minor,Bug,2015,10,2,Mesos,Resolved,2015-10-15,MESOS-3743,3,1,1137.99,Bernd Mathiske,1
Mesos does not set Content-Type for 400 Bad Request,HTTP API,2.0,Major,Bug,2015,10,3,Mesos,Resolved,2015-10-14,MESOS-3739,2,1,1138.53,Vinod Kone,1
Support docker local store pull same image simultaneously ,,3.0,Major,Improvement,2015,10,6,Mesos,Resolved,2015-10-14,MESOS-3736,2,0,1138.62,Gilbert Song,1
Incorrect sed syntax for Mac OSX,,2.0,Blocker,Bug,2015,10,6,Mesos,Resolved,2015-10-14,MESOS-3734,2,0,0.56,Neil Conway,1
Speed up FaultToleranceTest.FrameworkReregister test,test,1.0,Major,Improvement,2015,10,2,Mesos,Resolved,2015-10-14,MESOS-3732,2,1,1138.86,Alex R,3
Prototype quota request authorization,master,5.0,Major,Task,2015,10,0,Mesos,Resolved,2015-10-13,MESOS-3723,1,1,1139.75,Jan Schlicht,3
Prototype quota request authentication,master,5.0,Major,Task,2015,10,0,Mesos,Resolved,2015-10-13,MESOS-3722,1,1,1139.75,Jan Schlicht,2
Tests for Quota support in master,master,5.0,Major,Improvement,2015,10,3,Mesos,Resolved,2015-10-13,MESOS-3720,1,1,1139.77,Alex R,1
Implement Quota support in allocator,allocation,5.0,Major,Bug,2015,10,4,Mesos,Resolved,2015-10-13,MESOS-3718,1,1,1140.01,Alex R,1
Master recovery in presence of quota,master,5.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-13,MESOS-3717,1,1,1140.01,Alex R,1
Update Allocator interface to support quota,allocation,3.0,Major,Bug,2015,10,2,Mesos,Resolved,2015-10-13,MESOS-3716,1,1,1140.03,Alex R,1
HTTP Pipelining doesn't keep order of requests,libprocess,3.0,Major,Bug,2015,10,3,Mesos,Resolved,2015-10-12,MESOS-3705,0,1,1140.85,Alexander Rojas,3
Deprecate resource_monitoring_interval flag,,1.0,Major,Bug,2015,10,4,Mesos,Resolved,2015-10-12,MESOS-3700,0,0,0.88,Guangya Liu,0
JSON parsing allows non-whitespace trailing characters,,1.0,Major,Bug,2015,10,2,Mesos,Resolved,2015-10-11,MESOS-3698,6,0,1142.43,Greg Mann,1
Enable building mesos.apache.org locally in a Docker container.,,3.0,Major,Bug,2015,10,2,Mesos,Resolved,2015-10-09,MESOS-3694,4,0,1143.57,Artem Harutyunyan,2
Clarify error message 'could not chown work directory',documentation,1.0,Minor,Documentation,2015,10,2,Mesos,Resolved,2015-10-09,MESOS-3692,4,1,1143.87,Marco Massenzio,2
Port slave/containerizer/isolator.hpp to Windows,containerization,3.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-09,MESOS-3683,4,1,1144.16,Alex Clemmer,2
Port process/collect.hpp to Windows,libprocess,1.0,Major,Task,2015,10,4,Mesos,Resolved,2015-10-09,MESOS-3676,4,1,1144.18,Benjamin Mahler,2
Implement stout/os/windows/stat.hpp,stout,8.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3645,3,1,1144.56,Alex Clemmer,2
Implement stout/os/windows/read.hpp and write.hpp,stout,2.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3641,3,1,1144.57,Alex Clemmer,2
Implement stout/os/windows/ls.hpp,stout,3.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3640,3,1,1144.57,Alex Clemmer,2
Implement stout/os/windows/killtree.hpp,stout,5.0,Major,Task,2015,10,3,Mesos,Resolved,2015-10-08,MESOS-3639,3,1,1144.57,Daniel Pravat,2
Add support for github and variable base URLs to apply-reviews.py,,3.0,Major,Task,2015,10,0,Mesos,Resolved,2015-10-08,MESOS-3625,3,0,1144.65,Artem Harutyunyan,1
Port slave/containerizer/mesos/launch.cpp to Windows,containerization,3.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3624,3,1,1144.65,Alex Clemmer,2
Port slave/containerizer/mesos/containerizer.cpp to Windows,containerization,3.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3623,3,1,1144.66,Alex Clemmer,2
Create slave/containerizer/isolators/filesystem/windows.cpp,containerization,3.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3620,3,1,1144.66,Alex Clemmer,2
Port slave/containerizer/isolator.cpp to Windows,containerization,3.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3619,3,1,1144.66,Alex Clemmer,2
Port slave/containerizer/fetcher.cpp,containerization,3.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3618,3,1,1144.66,Alex Clemmer,2
Port slave/state.cpp,agent,3.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3615,3,1,1144.67,Alex Clemmer,2
Port slave/paths.cpp to Windows,agent,1.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3613,3,1,1144.67,Alex Clemmer,3
ExamplesTest.PersistentVolumeFramework does not work in OS X El Capitan,test,3.0,Major,Bug,2015,10,2,Mesos,Resolved,2015-10-08,MESOS-3604,3,1,1145.5,Michael Park,1
Test build failure due to comparison between signed and unsigned integers,,1.0,Blocker,Bug,2015,10,1,Mesos,Resolved,2015-10-07,MESOS-3603,2,0,4.87,Kapil Arya,1
Formalize all headers and metadata for HTTP API Event Stream,,5.0,Blocker,Improvement,2015,10,8,Mesos,Resolved,2015-10-07,MESOS-3601,2,0,467.95,Anand Mazumdar,4
Framework process hangs after master failover when number frameworks > libprocess thread pool size,scheduler driver,3.0,Major,Bug,2015,10,7,Mesos,Resolved,2015-10-06,MESOS-3595,1,1,1146.78,Mandeep Chadha,1
Propagate Isolator::prepare() failures to the framework,,2.0,Major,Task,2015,10,1,Mesos,Resolved,2015-10-06,MESOS-3593,1,0,1147.47,Kapil Arya,1
MemoryPressureMesosTest.CGROUPS_ROOT_Statistics and CGROUPS_ROOT_SlaveRecovery are flaky,test,1.0,Major,Bug,2015,10,9,Mesos,Resolved,2015-10-05,MESOS-3586,0,1,64.52,Joseph Wu,2
Add a test module for ip-per-container support,,3.0,Major,Task,2015,10,1,Mesos,Resolved,2015-10-05,MESOS-3585,0,0,1147.65,Kapil Arya,1
"rename libprocess tests to ""libprocess-tests""",libprocess,1.0,Trivial,Bug,2015,10,4,Mesos,Resolved,2015-10-05,MESOS-3584,0,1,1147.68,Kapil Arya,2
Introduce stream IDs in HTTP Scheduler API,,5.0,Major,Task,2015,10,6,Mesos,Resolved,2015-10-05,MESOS-3583,0,0,1147.77,Greg Mann,2
License headers show up all over doxygen documentation.,documentation,2.0,Minor,Documentation,2015,10,10,Mesos,Resolved,2015-10-05,MESOS-3581,0,1,1148.04,Benjamin Bannier,1
FetcherCacheTest.LocalUncachedExtract is flaky,"fetcher,test",2.0,Major,Bug,2015,10,10,Mesos,Resolved,2015-10-04,MESOS-3579,6,2,60.57,Benjamin Bannier,2
V1 API java/python protos are not generated,HTTP API,2.0,Blocker,Bug,2015,10,3,Mesos,Resolved,2015-10-02,MESOS-3575,4,1,1.04,Anand Mazumdar,1
Mesos does not kill orphaned docker containers,"agent,docker",5.0,Major,Bug,2015,10,21,Mesos,Resolved,2015-10-02,MESOS-3573,4,2,1151.0,Anand Mazumdar,1
Refactor registry_client,containerization,5.0,Major,Task,2015,10,2,Mesos,Resolved,2015-10-01,MESOS-3571,3,1,1151.77,Jojy Varghese,1
Make Scheduler Library use HTTP Pipelining Abstraction in Libprocess,,8.0,Major,Bug,2015,10,3,Mesos,Resolved,2015-10-01,MESOS-3570,3,0,1151.81,Anand Mazumdar,2
Support TCP checks in Mesos.,,8.0,Major,Improvement,2015,10,3,Mesos,Resolved,2015-10-01,MESOS-3567,3,0,1152.21,haosdent,2
Revocable task CPU shows as zero in /state.json,,2.0,Major,Bug,2015,9,9,Mesos,Resolved,2015-09-30,MESOS-3563,2,0,15.89,Vinod Kone,0
JSON-based credential files do not work correctly,master,1.0,Major,Bug,2015,9,15,Mesos,Resolved,2015-09-30,MESOS-3560,2,1,1152.66,Isabel Jimenez,1
Make the Command Scheduler use the HTTP Scheduler Library,,3.0,Major,Task,2015,9,3,Mesos,Resolved,2015-09-30,MESOS-3559,2,0,1152.67,Anand Mazumdar,1
Implement  HTTPCommandExecutor that uses the Executor Library ,,13.0,Major,Task,2015,9,8,Mesos,Resolved,2015-09-30,MESOS-3558,2,0,1152.67,Qian Zhang,1
mesos.cli broken in 0.24.x,cli,1.0,Major,Bug,2015,9,8,Mesos,Resolved,2015-09-30,MESOS-3556,2,1,1153.18,Marco Massenzio,1
Allocator changes trigger large re-compiles,allocation,3.0,Major,Improvement,2015,9,11,Mesos,Resolved,2015-09-30,MESOS-3554,2,1,1153.51,Joris Van Remoortere,1
LIBPROCESS_IP not passed when executor's environment is specified,,2.0,Major,Bug,2015,9,5,Mesos,Resolved,2015-09-30,MESOS-3553,2,0,1153.51,Greg Mann,1
CHECK failure due to floating point precision on reservation request,master,3.0,Major,Task,2015,9,29,Mesos,Resolved,2015-09-29,MESOS-3552,1,1,1153.63,Mandeep Chadha,2
Replace use of strerror with thread-safe alternatives strerror_r / strerror_l.,"libprocess,stout",3.0,Major,Bug,2015,9,3,Mesos,Resolved,2015-09-29,MESOS-3551,1,2,1153.58,Benjamin Bannier,3
Create a Executor Library based on the new Executor HTTP API,,5.0,Major,Task,2015,9,3,Mesos,Resolved,2015-09-29,MESOS-3550,1,0,1153.72,Anand Mazumdar,1
Libevent termination triggers Broken Pipe,libprocess,2.0,Major,Bug,2015,9,2,Mesos,Resolved,2015-09-28,MESOS-3540,0,1,1154.57,Joris Van Remoortere,3
Validate that slave's work_dir is a shared mount in its own peer group when LinuxFilesystemIsolator is used.,,3.0,Major,Bug,2015,9,2,Mesos,Resolved,2015-09-28,MESOS-3539,0,0,1.04,Jie Yu,0
Figure out how to enforce 64-bit builds on Windows.,build,3.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-26,MESOS-3525,5,1,1157.47,Alex Clemmer,3
Fix file descriptor leakage / double close in the code base,,3.0,Major,Bug,2015,9,13,Mesos,Resolved,2015-09-25,MESOS-3519,4,0,17.01,Chi Zhang,0
Building mesos from source fails when OS language is not English,build,2.0,Minor,Bug,2015,9,2,Mesos,Resolved,2015-09-25,MESOS-3517,4,1,1157.83,Benjamin Bannier,1
Add user doc for networking support in Mesos 0.25.0,,2.0,Major,Documentation,2015,9,0,Mesos,Resolved,2015-09-25,MESOS-3516,4,0,10.67,Niklas Quarfot Nielsen,0
Support Subscribe Call for HTTP based Executors,,5.0,Major,Task,2015,9,3,Mesos,Resolved,2015-09-25,MESOS-3515,4,0,1158.41,Anand Mazumdar,1
Cgroups Test Filters aborts tests on Centos 6.6 ,"agent,test",1.0,Major,Bug,2015,9,2,Mesos,Resolved,2015-09-24,MESOS-3513,3,2,0.01,Paul Brett,1
Don't retry close() on EINTR.,,1.0,Major,Bug,2015,9,2,Mesos,Resolved,2015-09-24,MESOS-3512,3,0,0.11,Benjamin Mahler,0
Synchronize V1 helper functions with pre-v1,,5.0,Blocker,Task,2015,9,2,Mesos,Resolved,2015-09-24,MESOS-3510,3,0,0.26,Joris Van Remoortere,1
Build instructions for CentOS 6.6 should include `sudo yum update`,,1.0,Major,Bug,2015,9,11,Mesos,Resolved,2015-09-23,MESOS-3506,2,0,1159.57,Greg Mann,2
Introduce MESOS_SANDBOX environment variable in Mesos containerizer.,,3.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-23,MESOS-3504,2,0,1.97,Jie Yu,0
configure cannot find libevent headers in CentOS 6,,2.0,Major,Bug,2015,9,8,Mesos,Resolved,2015-09-23,MESOS-3501,2,0,1159.77,Greg Mann,4
Add a test for os::realpath(),,1.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-23,MESOS-3499,2,0,1160.24,Artem Harutyunyan,1
Add implementation for sha256 based file content verification.,containerization,3.0,Major,Task,2015,9,1,Mesos,Resolved,2015-09-22,MESOS-3497,1,1,1160.53,Jojy Varghese,1
Create interface for digest verifier,containerization,2.0,Major,Task,2015,9,3,Mesos,Resolved,2015-09-22,MESOS-3496,1,1,1160.53,Jojy Varghese,1
Expose maintenance user doc via the documentation home page,documentation,1.0,Trivial,Task,2015,9,2,Mesos,Resolved,2015-09-22,MESOS-3492,1,1,1160.73,Joseph Wu,1
Enable ubuntu builds in ASF CI,,1.0,Major,Task,2015,9,7,Mesos,Resolved,2015-09-22,MESOS-3491,1,0,0.98,Isabel Jimenez,1
Mesos UI fails to represent JSON entities,stout,1.0,Major,Bug,2015,9,2,Mesos,Resolved,2015-09-22,MESOS-3490,1,1,1160.81,Joseph Wu,1
Add support for exposing Accept/Decline responses for inverse offers,,2.0,Major,Bug,2015,9,5,Mesos,Resolved,2015-09-22,MESOS-3489,1,0,1160.84,Joseph Wu,1
Make hook execution order deterministic,modules,3.0,Major,Improvement,2015,9,4,Mesos,Resolved,2015-09-21,MESOS-3485,0,1,119.43,haosdent,0
LinuxFilesystemIsolator should make the slave's work_dir a shared mount.,,3.0,Major,Bug,2015,9,6,Mesos,Resolved,2015-09-21,MESOS-3483,0,0,0.27,Jie Yu,0
Refactor Executor struct in Slave to handle HTTP based executors,,3.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-21,MESOS-3480,0,0,1161.85,Anand Mazumdar,1
Refactor Status Update method on Agent to handle HTTP based Executors,,8.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-20,MESOS-3476,6,0,1162.71,Anand Mazumdar,1
TestContainerizer should not modify global environment variables.,,8.0,Major,Bug,2015,9,9,Mesos,Resolved,2015-09-20,MESOS-3475,6,0,1162.76,Andrei Budnik,1
RegistryTokenTest.ExpiredToken test is flaky,,3.0,Major,Bug,2015,9,7,Mesos,Resolved,2015-09-20,MESOS-3472,6,0,1163.49,Neil Conway,2
UserCgroupIsolatorTest failed on CentOS 6.6,,1.0,Major,Bug,2015,9,3,Mesos,Resolved,2015-09-19,MESOS-3470,5,0,1163.71,haosdent,1
Improve apply_reviews.sh script to apply chain of reviews,,8.0,Major,Improvement,2015,9,8,Mesos,Resolved,2015-09-18,MESOS-3468,4,0,1164.55,Artem Harutyunyan,1
Add metrics for filesystem isolation and image provisioning.,,2.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-18,MESOS-3466,4,0,5.08,Yan Xu,1
Change /machine/up and /machine/down endpoints to take an array,master,1.0,Major,Task,2015,9,1,Mesos,Resolved,2015-09-17,MESOS-3459,3,1,1165.53,Joseph Wu,1
Segfault when accepting or declining inverse offers,master,1.0,Blocker,Bug,2015,9,1,Mesos,Resolved,2015-09-17,MESOS-3458,3,1,0.88,Joseph Wu,1
Add flag to disable hostname lookup,,3.0,Major,Improvement,2015,9,3,Mesos,Resolved,2015-09-17,MESOS-3457,3,0,1165.57,Marco Massenzio,1
Windows: Port protobuf_tests.hpp,stout,2.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-16,MESOS-3443,2,1,1167.21,Alex Clemmer,3
Unmount irrelevant host mounts in the new container's mount namespace.,,3.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-15,MESOS-3433,1,0,2.07,Yan Xu,1
Unify the implementations of the image provisioners.,,5.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-15,MESOS-3432,1,0,1.21,Jie Yu,0
LinuxFilesystemIsolatorTest.ROOT_PersistentVolumeWithoutRootFilesystem fails on CentOS 7.1,,2.0,Major,Bug,2015,9,14,Mesos,Resolved,2015-09-15,MESOS-3430,1,0,2.81,Jie Yu,2
Support running filesystem isolation with Command Executor in MesosContainerizer,containerization,4.0,Major,Bug,2015,9,1,Mesos,Resolved,2015-09-14,MESOS-3428,0,1,1168.65,Timothy Chen,1
process::collect and process::await do not perform discard propagation.,libprocess,3.0,Major,Bug,2015,9,3,Mesos,Resolved,2015-09-14,MESOS-3426,0,1,0.95,Benjamin Mahler,0
Modify LinuxLauncher to support Systemd,,8.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-14,MESOS-3425,0,0,1168.68,Joris Van Remoortere,1
Support fetching AppC images into the store,containerization,5.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-14,MESOS-3424,0,1,1168.74,Jojy Varghese,3
Perf event isolator stops performing sampling if a single timeout occurs.,"agent,containerization",3.0,Major,Bug,2015,9,4,Mesos,Resolved,2015-09-14,MESOS-3423,0,2,1.03,Benjamin Mahler,1
Factor out V1 API test helper functions,,2.0,Major,Improvement,2015,9,2,Mesos,Resolved,2015-09-13,MESOS-3418,6,0,1169.66,Guangya Liu,4
Log source address replicated log recieved broadcasts,replicated log,2.0,Minor,Improvement,2015,9,3,Mesos,Resolved,2015-09-12,MESOS-3417,5,1,1171.27,Neil Conway,2
Publish egg for 0.24.0 to PyPI,,1.0,Major,Task,2015,9,11,Mesos,Resolved,2015-09-11,MESOS-3416,4,0,2.88,Vinod Kone,0
Docker containerizer does not symlink persistent volumes into sandbox,"agent,containerization,docker",5.0,Major,Bug,2015,9,19,Mesos,Resolved,2015-09-11,MESOS-3413,4,3,1171.95,Timothy Chen,3
mesos-execute does not support credentials,,2.0,Major,Bug,2015,9,5,Mesos,Resolved,2015-09-10,MESOS-3402,3,0,225.83,Tim Anderegg,0
Remove unused executor protobuf,HTTP API,1.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-08,MESOS-3393,1,1,1174.6,Isabel Jimenez,1
Document a test pattern for expediting event firing,"documentation,test",3.0,Minor,Documentation,2015,9,2,Mesos,Resolved,2015-09-07,MESOS-3378,0,2,1175.84,Alex R,1
Add executor protobuf to v1,HTTP API,1.0,Major,Task,2015,9,2,Mesos,Resolved,2015-09-05,MESOS-3375,5,1,11.77,Isabel Jimenez,0
Add device support in cgroups abstraction,,3.0,Major,Task,2015,9,7,Mesos,Resolved,2015-09-04,MESOS-3368,4,0,206.32,Abhishek Dasgupta,1
Export per container SNMP statistics,,5.0,Major,Task,2015,9,3,Mesos,Resolved,2015-09-04,MESOS-3365,4,0,167.67,Cong Wang,1
Update quota design doc based on user comments and offline syncs,,3.0,Major,Documentation,2015,9,0,Mesos,Resolved,2015-09-02,MESOS-3357,2,0,1180.98,Alex R,1
Scope out approaches to deal with logging to finite disks (i.e. log rotation|capped-size logging).,documentation,5.0,Major,Task,2015,9,0,Mesos,Resolved,2015-09-01,MESOS-3356,1,1,1181.66,Joseph Wu,2
Problem Statement Summary for Systemd Cgroup Launcher,,5.0,Major,Task,2015,9,6,Mesos,Resolved,2015-09-01,MESOS-3352,1,0,1181.88,Joris Van Remoortere,3
Removing mount point fails with EBUSY in LinuxFilesystemIsolator.,test,5.0,Major,Bug,2015,9,28,Mesos,Resolved,2015-09-01,MESOS-3349,1,1,13.88,Jie Yu,1
Add either log rotation or capped-size logging (for tasks),,13.0,Major,Story,2015,9,3,Mesos,Resolved,2015-09-01,MESOS-3348,1,0,1182.49,Joseph Wu,1
Add filter support for inverse offers,,5.0,Major,Task,2015,8,5,Mesos,Resolved,2015-08-31,MESOS-3346,0,0,1182.54,Artem Harutyunyan,1
Expand the range of integer precision when converting into/out of json.,stout,5.0,Minor,Task,2015,8,9,Mesos,Resolved,2015-08-31,MESOS-3345,0,1,1182.6,Joseph Wu,3
Command-line flags should take precedence over OS Env variables,stout,2.0,Major,Improvement,2015,8,10,Mesos,Resolved,2015-08-31,MESOS-3340,0,1,1182.76,Klaus Ma,2
Implement filtering mechanism for (Scheduler API Events) Testing,test,3.0,Major,Task,2015,8,7,Mesos,Resolved,2015-08-31,MESOS-3339,0,1,1182.83,Anand Mazumdar,1
Refactored libprocess SSL tests.,,3.0,Major,Task,2015,8,5,Mesos,Resolved,2015-08-31,MESOS-3337,0,0,1182.91,Jojy Varghese,1
FlagsBase copy-ctor leads to dangling pointer.,,8.0,Major,Bug,2015,8,7,Mesos,Resolved,2015-08-30,MESOS-3335,6,0,1184.32,Benjamin Bannier,1
Support HTTP Pipelining in libprocess (http::post),libprocess,8.0,Major,Task,2015,8,2,Mesos,Resolved,2015-08-28,MESOS-3332,4,1,38.16,Benjamin Mahler,1
Make use of C++11 atomics,,2.0,Major,Bug,2015,8,8,Mesos,Resolved,2015-08-28,MESOS-3326,4,0,1186.51,Neil Conway,1
Spurious fetcher message about extracting an archive,fetcher,1.0,Trivial,Bug,2015,8,2,Mesos,Resolved,2015-08-26,MESOS-3321,2,1,1187.69,Bernd Mathiske,2
Mesos will not build when configured with gperftools enabled,,2.0,Major,Bug,2015,8,6,Mesos,Resolved,2015-08-26,MESOS-3319,2,0,244.07,Greg Mann,1
Factor out JSON to repeated protobuf conversion,,2.0,Major,Improvement,2015,8,2,Mesos,Resolved,2015-08-26,MESOS-3312,2,0,1188.41,Alex R,1
SlaveTest.HTTPSchedulerSlaveRestart,test,2.0,Major,Bug,2015,8,3,Mesos,Resolved,2015-08-25,MESOS-3311,1,1,7.02,Anand Mazumdar,2
